Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
SoLo Funds,https://www.crunchbase.com/organization/solo-funds-inc,13020000,USD,13020000,Active,"SoLo is a financial service provider enabling a marketplace where members can request and fund emergency needs. SoLo launched in 2018 with the goal of providing a lending alternative that was equitable, empowering, and community-driven. Since then, we’ve processed millions of transactions and redefined financial services for our community members. Today, we’re driven to new heights launching banking, credit building and premium member services, but grounded in the same hope and mission: to build a community that enables financial autonomy for all.",Venture - Series Unknown,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",SoLo is a community finance platform where our members step up for one another.,2018-04-01,month,"Financial Services, Lending and Investments","Banking, Financial Services, FinTech, Impact Investing, Lending",2023-03-03,,,,11820000,USD,11820000,"Techstars, gener8tor, Right Side Capital Management, Alumni Ventures, JumpStart",Private,,,,http://www.solofunds.com,"Black / African American Founded, Black / African American Led, Women Founded",$1M to $10M,,,,,For Profit,https://www.twitter.com/solofunds,https://www.facebook.com/SoLoFundsInc/,https://www.linkedin.com/company/solo-funds,help@solofunds.com,,79,,,,,,,,,,,,,,,,,,,,4,"Jarrel Carter, Rodney Williams, Taylor Bruno, Travis Holoway",101-250,7,,,,,Venture - Series Unknown,5,22,,,,,,,,,,,,,,,,,,,,,,,2021-10-07,,,12,12,,0.6,9.6,9.5,10,"Engineering, Finance, Management, Marketing, Medical & Science, Operations, Product, Sales",27,,"20,286","386,843",-46.84%,207,"3,350%",1.85,53.42%,49.71%,-45.68%,"1,273,777","450,502",54.72%,69,2,"27,578",19,,,,,,,,,
Cyble,https://www.crunchbase.com/organization/cyble,14607000,USD,14607000,Active,"Cyble provides capabilities for customers to manage cyber risks with AI-powered actionable threat intelligence. They are specialists in gathering intelligence across the Deepweb, Darkweb and Surface Web.",Series A,"Alpharetta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",World's fastest-growing threat intelligence provider (YC W21).,2019-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence, Cloud Security, Cyber Security, Risk Management",2022-02-22,10000000,USD,10000000,14607000,USD,14607000,"Y Combinator, Blackbird Ventures, Picus Capital, Cathexis Ventures, January Capital",Private,,,,https://cyble.com,,Less than $1M,,,,,For Profit,https://twitter.com/AuCyble,https://www.facebook.com/cybleau,https://www.linkedin.com/company/cyble-australia,contact@cyble.com,+1 678 379 3241,"2,226",,,,,,,,,,,,,,,,,,,,2,"Beenu Arora, Manish Chachada",101-250,9,Early Stage Venture,10000000,USD,10000000,Series A,3,11,,,,,,,,,,,,,,,,,,,,,,,2021-06-18,,,67,66,,-0.1,2.6,-0.5,9,,,,"32,318","49,744.17",-58.98%,73,217.39%,1.18,6.22%,91.75%,-3.38%,"898,699","405,433",82.19%,36,1,,5,0,2,,Scientific and electric apparatus and instruments,,,,,
Baller Mixed Reality,https://www.crunchbase.com/organization/baller-mixed-reality,3150000,USD,3150000,Active,"Baller Mixed Reality is pioneering the new era of Autographed Metaverse Collectibles with its creation of Augmented Reality NFTs autographed by legendary athletes and entertainers.  According to Crunchbase, Baller is the #1 Ranked 3D Technology Company, #1 Ranked Augmented Reality Company with Seed Funding, and #1 Ranked Blockchain Company with Seed Funding in the United States. Baller produces unique digital assets that, unlike other NFTs, can be placed into real-world environments and viewed from 360 degrees in high-definition 3D - both inside and outside of the metaverse.  Baller’s innovative collectibles sit at the nexus of the $15B market for sports memorabilia, $25B market for NFTs, and the projected $6.2B market for Augmented Reality Smart Glasses - which will soon-be released by Apple, Samsung, Facebook and others. Additionally, the authenticity and individual ownership of each Baller asset is verifiable on the blockchain, solving the long-standing problem of fraud and counterfeits in the collectibles market. See full Pitch Deck at https://prezi.com/i/efu7wf9pbjee/ballermr-pitch-deck/ --- > Yahoo - ""Baller became the first to create and sell an augmented reality NFT (""3D-AR NFT"") of an autographed collectible.” > Benzinga - ""Baller Mixed Reality, a cutting-edge start-up venture that is pioneering the development of Autographed Metaverse Collectibles in the form of 3D-AR NFTs... a major innovation in sports memorabilia.” > Bloomberg - ""Another benefit of Baller's ground-breaking NFTs is that they leverage blockchains to solve the long-standing problem of counterfeit items in the collectibles market... eliminating the potential for fraud and false ownership claims."" > ""NFTs Are 4 Ever"" Podcast - ""A significant experimentation into the metaverse. Very innovative... a potentially legendary collection. This mixed reality could be more valuable than items in the real world.” More at https://www.crunchbase.com/organization/baller-mixed-reality/signals_and_news/",Seed,"Miami Beach, Florida, United States","Greater Miami Area, East Coast, Southern US",Pioneering the New Era of Metaverse Collectibles with Augmented Reality NFTs Autographed by Legendary Athletes & Entertainers,2021-02-15,day,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Media and Entertainment, Other, Payments, Sales and Marketing, Software, Sports","3D Technology, Augmented Reality, B2C, Blockchain, Collectibles, Content Marketing, Cryptocurrency, Digital Entertainment, Semantic Web, Sports",2022-03-15,3000000,USD,3000000,3150000,USD,3150000,,Private,,,,http://BallerMR.com,"Black / African American Founded, Black / African American Led",,2022-10-01,day,,,For Profit,https://twitter.com/BallerMixedReal,https://www.facebook.com/BallerMR,https://www.linkedin.com/company/83704119/admin/,Info@BallerMR.com,+1-888-840-1118,767,,,,,,,,,,,,,,,,,,,,1,Jonathan Herman,1-10,2,M&A,3000000,USD,3000000,Seed,,,Was Acquired,,Baller Mixed Reality acquired by Strong Interactive,https://www.crunchbase.com/acquisition/strong-interactive-acquires-baller-mixed-reality--32bcf662,Strong Interactive,https://www.crunchbase.com/organization/strong-interactive,2022-10-01,day,20977000,USD,20977000,Acquisition,Stock,,,,,,,,,,,,5,224,223,,1.8,-0.5,3.6,7,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Accial Capital,https://www.crunchbase.com/organization/accial-capital,35000000,USD,35000000,Active,"Accial Capital is an impact-focused, tech-enabled investor in small business and consumer loan portfolios in Latin America and South East Asia. Accial Capital combines data, technology, capital and credit expertise to contribute to a world of widespread credit access and financial health.",Venture - Series Unknown,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England","Accial Capital is an impact-focused, tech-enabled investor in small business and consumer loan portfolios in emerging markets",2018-01-01,year,Financial Services,"Asset Management, Financial Services, FinTech",2023-03-09,35000000,USD,35000000,35000000,USD,35000000,"Symbiotics Group, U.S. International Development Finance Corp, Calvert Impact Capital",Private,,,,https://www.accialcapital.com/,,,,,,,,https://twitter.com/accialcapital,,https://www.linkedin.com/company/accial-capital,contact@accialcapital.com,,10,,,Debt,Venture Debt,15,12,12,,,,,,,,,,,,,2,"Dan Korngold, Jared Miller",11-50,1,,35000000,USD,35000000,Venture - Series Unknown,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,255,254,,8.1,10,10,508,"Engineering, Management, Operations",5,,569,,,7,,2,,0%,,"7,462,643",,,11,,,,,,,,,,,,
Replicate,https://www.crunchbase.com/organization/replicate,17800000,USD,17800000,Active,,Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Run machine learning models in the cloud,2019-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Artificial Intelligence,2023-02-21,12500000,USD,12500000,17800000,USD,17800000,"Sequoia Capital, Andreessen Horowitz, Y Combinator, Dylan Field, Guillermo Rauch",Private,,,,https://replicate.com,,,,,,,For Profit,https://twitter.com/replicatehq,,https://www.linkedin.com/company/replicate,,,3,,,,,,,,,,,,,,,,,,,,1,Ben Firshman,11-50,3,Early Stage Venture,12500000,USD,12500000,Series A,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,268,267,,-0.8,10,10,10,,,,"6,648,348","6,060,834.33",2.75%,634,-21.44%,2.46,-0.38%,61.78%,7.15%,"15,195",-376,-2.41%,,,,,0,3,,Scientific and electric apparatus and instruments,,,,,
DRESSX,https://www.crunchbase.com/organization/dressx,19150000,USD,19150000,Active,"DRESSX is a fashion startup that offers digital-only collections from brands and 3D designers. The startup gives digital clothes that may be digitally worn by its customers of their photographs and movies to be shared throughout varied digital platforms. It was founded in 2020 and is headquartered in Los Angeles, California.",Series A,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",DRESSX is a fashion startup that offers digital-only collections from brands and 3D designers.,2020-07-27,day,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Software","3D Technology, E-Commerce, Fashion, Retail",2023-02-28,15000000,USD,15000000,19150000,USD,19150000,"Warner Music Group, Greenfield, Hartmann Capital, The Artemis Fund, One Way Ventures",Private,,,,https://dressx.com/,,,,,,,For Profit,https://twitter.com/dressxcom,https://www.facebook.com/dressxcom,https://www.linkedin.com/company/dressx/,info@dressx.com,+16286667998,19,,,,,,,,,,,,,,,,,,,,2,"Daria Shapovalova, Natalia Modenova",11-50,5,Early Stage Venture,15000000,USD,15000000,Series A,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,318,317,,8.5,9.7,9.6,9,"Management, Product",2,,"40,264","35,237",97.66%,402,-30.45%,4.36,1.9%,45.68%,-7.44%,"776,181","-530,784",-40.61%,53,1,"1,262",,,,,,,,,,
EvolutionIQ,https://www.crunchbase.com/organization/evolutioniq,32986000,USD,32986000,Active,"EvolutionIQ is an artificial intelligence transformation for insurance carriers. AI Guidance for Disability and General Liability Carriers. By reducing reserves and losses, cycle times, adverse events, lowering expenses, and increasing customer satisfaction, the company's platform improves claims processing, tracks team productivity, and detects fraud trends, allowing clients to receive a fraud detection dashboard and making insurance more fair, transparent, and affordable. EvolutionIQ was established on January 1, 2019 in New York, United States by Tomas Vykruta and Michael Saltzman.",Series B,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",EvolutionIQ is an AI startup that offers claims guidance solutions for insurance companies and carriers.,2019-01-01,day,"Artificial Intelligence, Data and Analytics, Financial Services, Payments, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence, Commercial Insurance, Fraud Detection, Insurance, Risk Management",2023-02-28,7000000,USD,7000000,32986000,USD,32986000,"Sedgwick Claims Management Services, First Round Capital, FirstMark, Plug and Play, Foundation Capital",Private,,,,http://www.evolutioniq.com,,,,,,,For Profit,https://twitter.com/evolution_iq,,https://www.linkedin.com/company/evolution-iq,info@evolutioniq.com,,8,,,,,,,,,,,,,,,,,,,,2,"Michael Saltzman, Tomas Vykruta",51-100,5,Early Stage Venture,7000000,USD,7000000,Series B,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,321,320,,-0.9,9.2,9.5,12,"Engineering, Human Resources, Management, Operations, Pro Services, Product, Sales",25,,"27,751","22,836",-19.29%,"1,070",-3.17%,3.21,-22.16%,52.16%,37.92%,"997,361","112,279",12.69%,13,,,,,,,,,,,,
Entitle,https://www.crunchbase.com/organization/entitle-26cb,15000000,USD,15000000,Active,"Entitle provides a framework for managing cloud rights, allowing access to cloud resources to be restricted. With the help of Entitle's SaaS-based platform, enterprises can establish effective cloud Least Privilege programs. It also eliminates provisioning-related bottlenecks and enables security teams to restrict unneeded access and establish governance while maintaining a seamless experience for employees.",Seed,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Entitle is a cloud permissions management platform that automates how access to cloud resources is requested, granted, and audited.",2021-01-01,year,"Information Technology, Internet Services, Privacy and Security, Software","Cloud Management, Identity Management, Information Technology, Software",2023-02-22,15000000,USD,15000000,15000000,USD,15000000,"Elron Ventures, Ariel Maislos, Kmehin Ventures, Yair Weinberger, Glilot Capital Partners",Private,,,,https://entitle.io,,,,,,,For Profit,https://twitter.com/EntitleIO,https://www.facebook.com/profile.php?id=100088554567692,https://www.linkedin.com/company/entitle,contact@entitle.io,+972 54-772-2249,10,,,,,,,,,,,,,,,,,,,,2,"Avi Zetser, Ron Nissim",11-50,1,Seed,15000000,USD,15000000,Seed,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,330,329,,-1.1,10,10,10,,,,"5,594",,185.85%,185,988.24%,2.2,20.28%,35.14%,106.46%,"2,716,734","-2,489,148",-47.81%,,,,,,,,,,,,,
Zellerfeld Shoe,https://www.crunchbase.com/organization/zellerfeld-shoe-company,29988802,USD,29988802,Active,"Zellerfeld Shoe democratizes shoe manufacturing that produces a whole 3D-printed shoe with the push of a button. They develop their printing technology in-house and are continually challenging the current quo in order to bring about long-overdue reform in an undemocratic and immoral footwear business. The company was founded in 2020 and is based in Brooklyn, New York, United State.",Seed,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Zellerfeld Shoe democratizes shoe manufacturing that produces a whole 3D-printed shoe with the push of a button.,2020-05-01,day,"Manufacturing, Science and Engineering","3D Printing, Manufacturing, Mechanical Engineering",2023-02-23,15000000,USD,15000000,29988802,USD,29988802,"Founders Fund, Electric Feel Ventures",Private,,,,https://www.zellerfeld.com/,,,,,,,For Profit,,,https://ca.linkedin.com/company/zellerfeld-inc,hello@zellerfeld.com,607-478-1920,4,,,,,,,,,,,,,,,,,,,,5,"Aaron Krane, Cornelius Schmitt, Franz-Maximilian Foltin, Lennard Stoever, Peter Graeff",11-50,4,Seed,15000000,USD,15000000,Seed,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,368,367,,0.2,9.8,9.9,10,"Marketing, Operations",1,,"11,499","9,653.67",530.08%,1,-95.83%,1,0.27%,99.87%,-0.13%,"1,746,799","-3,638,337",-67.56%,66,1,5,,0,0,,Clothing; footwear; headgear,,,,,
Fynn,https://www.crunchbase.com/organization/fynn-0e3e,40011495,USD,40011495,Active,,Debt Financing,"Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Fynn provides education loans and financial assistance to students.,2019-01-01,year,Financial Services,"Finance, Financial Services, Lending",2023-03-07,25000000,USD,25000000,15011495,USD,15011495,"Y Combinator, Village Global, Susa Ventures, Rebel Fund, 7BC Venture Capital",Private,,,,https://fynncredit.com/,,,,,,,For Profit,https://www.twitter.com/fynncredit,https://www.facebook.com/fynncredit,https://www.linkedin.com/company/fynncredit,help@fynncredit.com,1 (505)-806-2054,3,,,,,,,,,,,,,,,,,,,,,,11-50,7,Seed,11000000,USD,11000000,Seed,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,372,371,,2.2,9.9,10,10,Management,1,,"32,018",,"3,194.03%",667,,3.14,214.46%,43.56%,-56.44%,"904,460","-5,681,575",-86.27%,9,,,,,,,,,,,,
